iter	Passed	Remaining
650	2437	1306
651	2440	1302
652	2444	1298
653	2447	1294
654	2450	1290
655	2454	1287
656	2457	1283
657	2461	1279
658	2464	1275
659	2467	1271
660	2471	1267
661	2474	1263
662	2478	1259
663	2481	1255
664	2485	1251
665	2488	1248
666	2492	1244
667	2496	1240
668	2499	1236
669	2503	1233
670	2507	1229
671	2510	1225
672	2513	1221
673	2517	1217
674	2521	1214
675	2525	1210
676	2529	1206
677	2533	1203
678	2537	1199
679	2540	1195
680	2544	1191
681	2547	1187
682	2551	1184
683	2554	1180
684	2558	1176
685	2561	1172
686	2564	1168
687	2568	1164
688	2571	1160
689	2574	1156
690	2578	1153
691	2582	1149
692	2585	1145
693	2589	1141
694	2592	1137
695	2595	1133
696	2599	1130
697	2603	1126
698	2607	1122
699	2610	1118
700	2614	1115
701	2618	1111
702	2621	1107
703	2624	1103
704	2628	1099
705	2632	1096
706	2636	1092
707	2639	1088
708	2643	1085
709	2647	1081
710	2650	1077
711	2654	1073
712	2657	1069
713	2661	1066
714	2665	1062
715	2668	1058
716	2672	1054
717	2675	1050
718	2680	1047
719	2684	1044
720	2688	1040
721	2693	1037
722	2697	1033
723	2701	1029
724	2705	1026
725	2709	1022
726	2713	1019
727	2717	1015
728	2721	1011
729	2725	1008
730	2730	1004
731	2734	1001
732	2738	997
733	2743	994
734	2747	990
735	2751	986
736	2755	983
737	2760	980
738	2764	976
739	2768	972
740	2773	969
741	2778	966
742	2781	962
743	2785	958
744	2790	955
745	2795	951
746	2798	947
747	2802	944
748	2808	941
749	2812	937
750	2816	933
751	2819	929
752	2824	926
753	2827	922
754	2830	918
755	2834	914
756	2838	911
757	2842	907
758	2845	903
759	2849	899
760	2853	896
761	2858	892
762	2861	888
763	2865	885
764	2869	881
765	2874	878
766	2878	874
767	2883	871
768	2887	867
769	2891	863
770	2894	859
771	2899	856
772	2903	852
773	2907	848
774	2910	845
775	2915	841
776	2919	837
777	2923	834
778	2927	830
779	2932	826
780	2935	823
781	2939	819
782	2942	815
783	2947	811
784	2950	808
785	2953	804
786	2957	800
787	2961	796
788	2965	792
789	2968	789
790	2972	785
791	2975	781
792	2979	777
793	2983	774
794	2987	770
795	2990	766
796	2994	762
797	2999	759
798	3002	755
799	3006	751
800	3011	748
801	3015	744
802	3019	740
803	3023	737
804	3027	733
805	3031	729
806	3035	725
807	3038	722
808	3043	718
809	3047	714
810	3050	710
811	3054	707
812	3058	703
813	3061	699
814	3065	695
815	3068	691
816	3071	688
817	3076	684
818	3080	680
819	3083	676
820	3087	673
821	3091	669
822	3094	665
823	3098	661
824	3101	657
825	3105	654
826	3109	650
827	3112	646
828	3116	642
829	3119	638
830	3123	635
831	3126	631
832	3130	627
833	3133	623
834	3136	619
835	3140	616
836	3143	612
837	3147	608
838	3150	604
839	3154	600
840	3158	597
841	3162	593
842	3165	589
843	3169	585
844	3172	582
845	3176	578
846	3180	574
847	3183	570
848	3188	567
849	3192	563
850	3196	559
851	3199	555
852	3204	552
853	3207	548
854	3211	544
855	3214	540
856	3217	536
857	3221	533
858	3225	529
859	3228	525
860	3231	521
861	3236	518
862	3239	514
863	3243	510
864	3246	506
865	3250	502
866	3254	499
867	3257	495
868	3260	491
869	3264	487
870	3268	484
871	3271	480
872	3275	476
873	3278	472
874	3282	468
875	3286	465
876	3289	461
877	3292	457
878	3296	453
879	3299	449
880	3303	446
881	3307	442
882	3310	438
883	3314	434
884	3318	431
885	3321	427
886	3324	423
887	3328	419
888	3331	416
889	3335	412
890	3338	408
891	3341	404
892	3345	400
893	3349	397
894	3352	393
895	3355	389
896	3359	385
897	3362	381
898	3367	378
899	3370	374
900	3373	370
901	3377	366
902	3381	363
903	3385	359
904	3388	355
905	3391	351
906	3395	348
907	3399	344
908	3403	340
909	3407	337
910	3412	333
911	3416	329
912	3419	325
913	3423	322
914	3426	318
915	3430	314
916	3434	310
917	3437	307
918	3441	303
919	3445	299
920	3448	295
921	3452	292
922	3455	288
923	3459	284
924	3462	280
925	3466	276
926	3469	273
927	3473	269
928	3478	265
929	3482	262
930	3486	258
931	3489	254
932	3493	250
933	3497	247
934	3501	243
935	3504	239
936	3509	235
937	3512	232
938	3516	228
939	3520	224
940	3524	220
941	3530	217
942	3534	213
943	3538	209
944	3543	206
945	3549	202
946	3553	198
947	3559	195
948	3563	191
949	3569	187
950	3577	184
951	3582	180
952	3586	176
953	3592	173
954	3596	169
955	3600	165
956	3605	162
957	3610	158
958	3613	154
959	3617	150
960	3621	146
961	3625	143
962	3629	139
963	3632	135
964	3636	131
965	3640	128
966	3644	124
967	3648	120
968	3652	116
969	3657	113
970	3661	109
971	3665	105
972	3669	101
973	3674	98
974	3678	94
975	3681	90
976	3686	86
977	3690	83
978	3694	79
979	3697	75
980	3702	71
981	3705	67
982	3709	64
983	3712	60
984	3716	56
985	3720	52
986	3724	49
987	3728	45
988	3731	41
989	3734	37
990	3738	33
991	3741	30
992	3744	26
993	3749	22
994	3752	18
995	3756	15
996	3759	11
997	3763	7
998	3767	3
999	3770	0
